timeElapsed,x,y,z,label
6.07,-0.74307251,0.207733154,0.644256592,sit
6.169,-0.735015869,0.218994141,0.647781372,sit
6.269,-0.739486694,0.205657959,0.647613525,sit
6.368,-0.737792969,0.216049194,0.644775391,sit
6.468,-0.743942261,0.208312988,0.642837524,sit
6.568,-0.744338989,0.210662842,0.64553833,sit
6.667,-0.743041992,0.212966919,0.646759033,sit
6.767,-0.750366211,0.206817627,0.643493652,sit
6.866,-0.74331665,0.213699341,0.644317627,sit
6.966,-0.739639282,0.20854187,0.64213562,sit
7.065,-0.74407959,0.201553345,0.641479492,sit
7.165,-0.746749878,0.208511353,0.642684937,sit
7.264,-0.749038696,0.205886841,0.643661499,sit
7.364,-0.751617432,0.203125,0.639923096,sit
7.463,-0.747573853,0.205078125,0.642929077,sit
7.563,-0.74822998,0.209289551,0.644577026,sit
7.662,-0.74798584,0.20149231,0.64402771,sit
7.762,-0.743835449,0.207839966,0.639846802,sit
7.861,-0.757324219,0.200958252,0.634765625,sit
7.961,-0.752059937,0.20085144,0.637084961,sit
8.06,-0.760116577,0.20022583,0.628982544,sit
8.16,-0.783233643,0.213745117,0.619766235,sit
8.259,-0.769302368,0.221450806,0.63710022,sit
8.359,-0.730255127,0.212799072,0.645172119,sit
8.458,-0.723373413,0.217666626,0.652450562,sit
8.558,-0.740859985,0.227249146,0.627853394,sit
8.657,-0.753082275,0.220214844,0.640731812,sit
8.757,-0.759124756,0.200622559,0.620941162,sit
8.856,-0.761688232,0.209609985,0.622573853,sit
8.956,-0.764205933,0.205307007,0.636489868,sit
9.055,-0.742355347,0.209960938,0.638595581,sit
9.155,-0.740722656,0.212387085,0.632781982,sit
9.254,-0.773071289,0.194717407,0.619400024,sit
9.354,-0.789474487,0.195556641,0.611495972,sit
9.453,-0.777053833,0.199569702,0.615600586,sit
9.553,-0.761688232,0.207168579,0.619400024,sit
9.652,-0.750915527,0.206253052,0.623687744,sit
9.752,-0.740036011,0.214477539,0.628890991,sit
9.851,-0.762481689,0.215682983,0.622009277,sit
9.951,-0.767807007,0.206665039,0.617462158,sit
10.05,-0.764862061,0.201522827,0.625854492,sit
10.15,-0.757293701,0.21963501,0.626831055,sit
10.249,-0.75479126,0.210784912,0.628189087,sit
10.349,-0.754394531,0.206100464,0.625640869,sit
10.448,-0.747009277,0.216308594,0.629257202,sit
10.548,-0.723190308,0.217147827,0.643493652,sit
10.647,-0.736938477,0.217391968,0.63571167,sit
10.747,-0.758544922,0.21546936,0.624786377,sit
10.846,-0.761154175,0.199157715,0.61479187,sit
10.946,-0.759155273,0.202896118,0.627471924,sit
11.045,-0.758880615,0.20552063,0.635269165,sit
11.145,-0.765579224,0.200469971,0.636520386,sit
11.244,-0.722213745,0.201309204,0.560516357,sit
11.344,-0.76008606,0.17048645,0.597747803,sit
11.443,-0.767349243,0.199234009,0.628234863,sit
11.543,-0.753967285,0.188079834,0.629470825,sit
11.642,-0.767486572,0.187225342,0.624923706,sit
