,X,Y,Z,Activity
621,-0.85,3.44,9.55,Upstairs
622,-0.91,3.52,9.34,Upstairs
623,-0.75,3.51,9.13,Upstairs
624,-0.77,3.57,9.1,Upstairs
625,-0.75,3.58,9.03,Upstairs
626,-0.82,3.59,8.7,Upstairs
627,-0.71,3.56,8.64,Upstairs
628,-0.6,3.54,9.17,Upstairs
629,-0.32,3.4,9.73,Upstairs
630,-0.7,3.58,9.41,Upstairs
631,-0.68,3.49,8.92,Upstairs
632,-0.72,3.4,9.32,Upstairs
633,-0.84,3.49,9.96,Upstairs
634,-0.93,3.55,9.72,Upstairs
635,-0.94,3.51,9.02,Upstairs
636,-0.91,3.57,8.74,Upstairs
637,-0.94,3.83,9.56,Upstairs
638,-0.91,3.49,8.35,Upstairs
639,-0.95,3.53,9.11,Upstairs
640,-0.65,3.55,9.82,Upstairs
641,-0.69,3.56,9.7,Upstairs
642,-0.79,3.48,9.08,Upstairs
643,-0.79,3.39,8.89,Upstairs
644,-0.82,3.48,9.27,Upstairs
645,-0.78,3.41,9.58,Upstairs
646,-0.72,3.38,9.6,Upstairs
647,-0.73,3.42,9.31,Upstairs
648,-0.62,3.38,9.09,Upstairs
649,-0.66,3.37,9.09,Upstairs
650,-0.71,3.43,9.19,Upstairs
651,-0.76,3.41,9.21,Upstairs
652,-0.74,3.4,9.24,Upstairs
653,-0.69,3.39,9.32,Upstairs
654,-0.75,3.44,9.34,Upstairs
655,-0.77,3.44,9.21,Upstairs
656,-0.74,3.44,9.15,Upstairs
657,-0.62,3.42,9.31,Upstairs
658,-0.46,3.44,9.51,Upstairs
659,-0.47,3.47,9.5,Upstairs
660,-0.67,3.48,9.16,Upstairs
661,-0.57,3.44,8.95,Upstairs
662,-0.56,3.38,9.09,Upstairs
663,-0.55,3.28,9.4,Upstairs
664,-0.51,3.28,9.51,Upstairs
665,-0.4,3.34,9.22,Upstairs
666,-0.49,3.27,9.13,Upstairs
667,-0.29,3.24,9.42,Upstairs
668,-0.34,3.32,9.82,Upstairs
669,-0.47,3.28,9.53,Upstairs
670,-0.53,3.23,9.08,Upstairs
671,-0.59,3.23,9.37,Upstairs
672,-0.61,3.28,9.86,Upstairs
673,-0.6,3.27,9.88,Upstairs
674,-0.61,3.31,9.44,Upstairs
675,-0.47,3.3,9.07,Upstairs
676,-0.4,3.32,9.14,Upstairs
677,-0.23,3.27,9.7,Upstairs
678,-0.32,3.24,9.68,Upstairs
679,-0.18,3.32,9.64,Upstairs
680,-0.22,3.37,9.61,Upstairs
681,-0.19,3.57,9.09,Upstairs
682,-0.24,3.44,8.65,Upstairs
683,-0.34,3.33,8.87,Upstairs
684,-0.16,3.33,9.98,Upstairs
685,-0.51,3.13,9.91,Upstairs
686,-0.57,3.4,9.72,Upstairs
687,-0.29,3.43,9.42,Upstairs
688,-0.26,3.49,9.26,Upstairs
689,-0.27,3.5,8.68,Upstairs
690,-0.57,3.57,8.56,Upstairs
691,-0.34,3.64,9.11,Upstairs
692,-0.29,3.55,9.81,Upstairs
693,-0.49,3.75,10.01,Upstairs
694,-0.85,3.57,9.0,Upstairs
695,-0.58,3.59,8.19,Upstairs
696,-0.63,3.62,8.77,Upstairs
697,-0.39,3.56,9.38,Upstairs
698,-0.74,3.62,8.81,Upstairs
699,-0.68,3.64,9.14,Upstairs
700,-0.48,3.49,10.2,Upstairs
701,-0.93,3.2,9.67,Upstairs
702,-1.07,3.39,9.61,Upstairs
703,-0.84,3.37,9.04,Upstairs
704,-0.66,3.67,8.64,Upstairs
705,-0.72,3.58,8.3,Upstairs
706,-0.73,3.64,9.16,Upstairs
707,-0.86,3.39,8.94,Upstairs
708,-0.82,3.47,9.82,Upstairs
709,-0.73,3.51,10.13,Upstairs
710,-0.79,3.45,9.84,Upstairs
711,-0.79,3.44,9.15,Upstairs
712,-1.14,3.44,8.89,Upstairs
713,-1.08,3.47,8.91,Upstairs
714,-1.04,3.53,9.27,Upstairs
715,-1.0,3.55,9.35,Upstairs
716,-1.12,3.61,9.28,Upstairs
717,-0.99,3.59,9.1,Upstairs
718,-0.64,3.66,9.07,Upstairs
719,-0.76,3.54,9.18,Upstairs
720,-0.45,3.93,9.41,Upstairs
721,-0.47,3.71,9.29,Upstairs
722,-0.69,3.65,8.93,Upstairs
723,-1.03,3.72,8.79,Upstairs
724,-1.16,3.71,8.85,Upstairs
725,-1.01,3.61,9.19,Upstairs
726,-0.86,3.65,9.35,Upstairs
727,-1.3,3.69,9.29,Upstairs
728,-1.37,3.65,9.28,Upstairs
729,-1.34,3.77,9.1,Upstairs
