2.64,9.79,4.09,Sitting
2.21,9.92,3.41,Sitting
2.55,10.32,2.64,Sitting
4.02,10.09,2.4,Sitting
2.26,9.56,1.71,Sitting
0.23,8.93,0.02,Sitting
0.05,8.46,-0.68,Sitting
1.73,8.68,-0.49,Sitting
2.18,9.42,-0.84,Sitting
2.31,9.56,-1.2,Sitting
2.56,9.45,-1.47,Sitting
2.84,9.71,-1.31,Sitting
3.36,10.28,-1.1,Sitting
3.21,10.55,-1.26,Sitting
3.02,10.37,-1.54,Sitting
2.58,10.05,-1.13,Sitting
2.39,9.61,-0.76,Sitting
2.26,9.37,-0.02,Sitting
1.91,9.45,-0.24,Sitting
1.65,9.83,-0.93,Sitting
1.98,9.92,-1.32,Sitting
1.9,9.9,-1.11,Sitting
2.12,10.05,-1.34,Sitting
2.17,10.49,-1.4,Sitting
1.7,10.64,-1.18,Sitting
1.17,10.53,-1.44,Sitting
1.04,10.16,-1.04,Sitting
1.17,9.67,-1.54,Sitting
0.42,8.92,-3.23,Sitting
0.06,7.99,-4.64,Sitting
-0.16,7.55,-5.27,Sitting
0.11,7.67,-5.5,Sitting
1.42,8.31,-5.69,Sitting
2.49,9.19,-6.33,Sitting
2.43,9.24,-6.66,Sitting
1.68,8.64,-6.61,Sitting
0.72,8.07,-6.58,Sitting
-0.34,7.31,-6.45,Sitting
-0.27,6.68,-5.41,Sitting
0.61,6.93,-4.36,Sitting
0.67,7.14,-5.24,Sitting
0.52,7.03,-6.21,Sitting
0.91,7.25,-5.97,Sitting
1.55,7.85,-5.98,Sitting
1.75,7.9,-6.82,Sitting
1.72,7.88,-7.16,Sitting
1.53,7.73,-6.37,Sitting
1.49,7.84,-6.45,Sitting
1.03,7.64,-6.51,Sitting
0.94,7.51,-6.37,Sitting
1.21,7.87,-6.53,Sitting
1.59,8.04,-6.81,Sitting
2.05,8.53,-7.46,Sitting
2.84,9.15,-8.12,Sitting
2.81,9.05,-8.07,Sitting
1.81,8.82,-7.38,Sitting
1.1,8.23,-6.81,Sitting
0.37,7.96,-6.4,Sitting
-0.2,7.5,-5.87,Sitting
-0.44,7.3,-5.52,Sitting
-0.51,7.22,-5.16,Sitting
-0.53,7.41,-5.17,Sitting
-0.53,7.6,-5.49,Sitting
-0.48,7.68,-5.47,Sitting
-0.15,8.08,-5.71,Sitting
0.03,8.24,-5.7,Sitting
-0.01,8.26,-5.64,Sitting
-0.07,8.21,-5.52,Sitting
0.14,8.34,-5.47,Sitting
0.58,8.71,-5.65,Sitting
0.42,8.69,-5.85,Sitting
0.18,8.55,-5.81,Sitting
0.07,8.46,-5.46,Sitting
0.38,8.62,-5.56,Sitting
0.35,8.52,-5.89,Sitting
0.01,8.27,-5.95,Sitting
-0.19,8.12,-5.86,Sitting
-0.05,8.17,-5.73,Sitting
0.06,8.09,-5.58,Sitting
0.21,8.05,-5.64,Sitting
0.28,8.1,-5.7,Sitting
0.5,8.1,-5.49,Sitting
0.42,7.99,-5.58,Sitting
0.42,7.65,-5.27,Sitting
