,X,Y,Z,Activity
594,2.94,-9.43,-0.33,Standing
595,2.91,-9.42,-0.41,Standing
596,2.82,-9.42,-0.5,Standing
597,2.79,-9.46,-0.5,Standing
598,2.77,-9.5,-0.52,Standing
599,2.76,-9.47,-0.52,Standing
600,2.73,-9.45,-0.53,Standing
601,2.76,-9.48,-0.53,Standing
602,2.78,-9.5,-0.47,Standing
603,2.75,-9.51,-0.42,Standing
604,2.73,-9.5,-0.44,Standing
605,2.69,-9.47,-0.42,Standing
606,2.7,-9.41,-0.43,Standing
607,2.77,-9.37,-0.45,Standing
608,2.84,-9.4,-0.44,Standing
609,2.94,-9.43,-0.47,Standing
610,2.95,-9.41,-0.48,Standing
611,2.96,-9.36,-0.47,Standing
612,2.97,-9.35,-0.49,Standing
613,2.98,-9.35,-0.52,Standing
614,3.02,-9.39,-0.57,Standing
615,3.09,-9.4,-0.6,Standing
616,3.06,-9.38,-0.52,Standing
617,2.99,-9.39,-0.44,Standing
618,2.94,-9.4,-0.42,Standing
619,2.86,-9.36,-0.48,Standing
620,2.78,-9.37,-0.53,Standing
621,2.79,-9.43,-0.53,Standing
622,2.82,-9.41,-0.48,Standing
623,2.9,-9.38,-0.44,Standing
624,2.91,-9.4,-0.41,Standing
625,2.86,-9.37,-0.45,Standing
626,2.87,-9.38,-0.55,Standing
627,2.94,-9.37,-0.59,Standing
628,2.96,-9.36,-0.62,Standing
629,3.02,-9.35,-0.59,Standing
630,3.05,-9.36,-0.58,Standing
631,3.06,-9.4,-0.54,Standing
632,3.01,-9.42,-0.56,Standing
633,2.91,-9.39,-0.64,Standing
634,2.9,-9.38,-0.66,Standing
635,2.94,-9.36,-0.61,Standing
636,2.98,-9.37,-0.54,Standing
637,2.98,-9.37,-0.53,Standing
638,2.95,-9.35,-0.5,Standing
639,2.89,-9.39,-0.5,Standing
640,2.81,-9.45,-0.5,Standing
641,2.78,-9.45,-0.54,Standing
642,2.78,-9.4,-0.56,Standing
643,2.76,-9.34,-0.58,Standing
644,2.82,-9.32,-0.5,Standing
645,2.93,-9.36,-0.44,Standing
646,3.0,-9.34,-0.5,Standing
647,3.03,-9.24,-0.57,Standing
648,3.17,-9.25,-0.57,Standing
649,3.29,-9.41,-0.54,Standing
650,3.2,-9.56,-0.41,Standing
651,2.98,-9.5,-0.38,Standing
652,2.84,-9.3,-0.5,Standing
653,2.89,-9.25,-0.62,Standing
654,3.02,-9.31,-0.57,Standing
655,3.09,-9.4,-0.44,Standing
656,3.07,-9.39,-0.37,Standing
657,2.98,-9.39,-0.44,Standing
658,2.93,-9.38,-0.5,Standing
659,2.88,-9.42,-0.48,Standing
660,2.85,-9.46,-0.5,Standing
661,2.79,-9.44,-0.57,Standing
662,2.75,-9.42,-0.58,Standing
663,2.75,-9.41,-0.51,Standing
664,2.8,-9.41,-0.47,Standing
665,2.88,-9.42,-0.54,Standing
666,2.89,-9.45,-0.55,Standing
667,2.96,-9.42,-0.54,Standing
668,3.05,-9.39,-0.53,Standing
669,3.06,-9.38,-0.43,Standing
670,3.03,-9.35,-0.39,Standing
671,2.98,-9.35,-0.45,Standing
672,2.98,-9.39,-0.48,Standing
673,2.98,-9.37,-0.45,Standing
674,3.0,-9.34,-0.41,Standing
675,2.96,-9.37,-0.39,Standing
676,2.87,-9.4,-0.39,Standing
677,2.78,-9.39,-0.43,Standing
678,2.73,-9.39,-0.49,Standing
679,2.72,-9.45,-0.54,Standing
680,2.75,-9.47,-0.54,Standing
681,2.77,-9.46,-0.56,Standing
682,2.77,-9.46,-0.6,Standing
683,2.82,-9.46,-0.63,Standing
684,2.84,-9.44,-0.66,Standing
685,2.89,-9.41,-0.62,Standing
686,2.93,-9.4,-0.62,Standing
687,3.0,-9.44,-0.6,Standing
688,2.98,-9.43,-0.56,Standing
689,2.91,-9.4,-0.53,Standing
690,2.84,-9.33,-0.53,Standing
691,2.86,-9.34,-0.5,Standing
692,2.99,-9.35,-0.47,Standing
693,3.16,-9.37,-0.47,Standing
694,3.21,-9.37,-0.45,Standing
695,3.08,-9.36,-0.42,Standing
696,2.96,-9.39,-0.42,Standing
697,2.94,-9.38,-0.44,Standing
698,2.96,-9.33,-0.39,Standing
699,2.98,-9.3,-0.3,Standing
700,2.98,-9.29,-0.25,Standing
701,3.0,-9.34,-0.25,Standing
702,3.02,-9.4,-0.29,Standing
703,2.98,-9.42,-0.39,Standing
704,2.95,-9.39,-0.46,Standing
705,2.89,-9.35,-0.49,Standing
706,2.87,-9.42,-0.51,Standing
707,2.89,-9.53,-0.53,Standing
708,2.85,-9.47,-0.53,Standing
709,2.81,-9.37,-0.49,Standing
710,2.84,-9.38,-0.44,Standing
711,2.9,-9.42,-0.44,Standing
712,2.91,-9.39,-0.47,Standing
713,2.96,-9.34,-0.47,Standing
714,3.03,-9.34,-0.39,Standing
715,3.07,-9.31,-0.41,Standing
716,3.07,-9.27,-0.47,Standing
717,3.08,-9.3,-0.53,Standing
718,3.08,-9.34,-0.51,Standing
719,3.03,-9.37,-0.53,Standing
720,2.98,-9.37,-0.56,Standing
721,2.98,-9.38,-0.56,Standing
722,3.01,-9.33,-0.55,Standing
723,3.04,-9.3,-0.58,Standing
724,3.12,-9.35,-0.58,Standing
725,3.12,-9.35,-0.56,Standing
726,3.06,-9.27,-0.55,Standing
727,3.03,-9.29,-0.49,Standing
728,2.99,-9.39,-0.44,Standing
729,2.94,-9.46,-0.45,Standing
730,2.85,-9.48,-0.48,Standing
731,2.8,-9.47,-0.48,Standing
732,2.79,-9.4,-0.45,Standing
733,2.8,-9.28,-0.45,Standing
734,2.88,-9.27,-0.46,Standing
735,3.01,-9.35,-0.45,Standing
736,3.12,-9.46,-0.47,Standing
737,3.13,-9.53,-0.48,Standing
738,2.99,-9.44,-0.46,Standing
739,2.87,-9.41,-0.42,Standing
740,2.79,-9.45,-0.41,Standing
741,2.7,-9.48,-0.48,Standing
742,2.62,-9.47,-0.57,Standing
743,2.59,-9.43,-0.59,Standing
744,2.6,-9.4,-0.59,Standing
745,2.67,-9.42,-0.56,Standing
746,2.82,-9.41,-0.56,Standing
747,2.95,-9.39,-0.57,Standing
748,3.0,-9.38,-0.59,Standing
749,2.99,-9.38,-0.62,Standing
750,2.98,-9.44,-0.68,Standing
751,2.98,-9.42,-0.7,Standing
752,2.96,-9.35,-0.74,Standing
753,2.93,-9.34,-0.75,Standing
754,2.94,-9.38,-0.7,Standing
755,2.93,-9.38,-0.67,Standing
756,2.95,-9.35,-0.63,Standing
757,2.96,-9.34,-0.63,Standing
758,2.97,-9.33,-0.63,Standing
759,2.94,-9.34,-0.61,Standing
760,2.84,-9.41,-0.6,Standing
761,2.77,-9.44,-0.59,Standing
762,2.75,-9.45,-0.67,Standing
763,2.72,-9.45,-0.7,Standing
764,2.72,-9.43,-0.67,Standing
765,2.72,-9.39,-0.59,Standing
766,2.78,-9.41,-0.54,Standing
767,2.84,-9.44,-0.55,Standing
768,2.89,-9.45,-0.59,Standing
769,2.9,-9.43,-0.59,Standing
770,2.86,-9.39,-0.55,Standing
771,2.82,-9.36,-0.5,Standing
772,2.83,-9.37,-0.49,Standing
773,2.86,-9.4,-0.52,Standing
774,2.86,-9.45,-0.56,Standing
775,2.85,-9.46,-0.59,Standing
776,2.8,-9.45,-0.59,Standing
777,2.73,-9.43,-0.55,Standing
778,2.72,-9.45,-0.5,Standing
779,2.67,-9.49,-0.48,Standing
780,2.58,-9.45,-0.48,Standing
781,2.53,-9.43,-0.52,Standing
782,2.52,-9.44,-0.56,Standing
783,2.63,-9.41,-0.6,Standing
784,2.76,-9.43,-0.56,Standing
785,2.81,-9.48,-0.5,Standing
786,2.76,-9.52,-0.54,Standing
787,2.73,-9.6,-0.64,Standing
788,2.7,-9.58,-0.7,Standing
789,2.68,-9.44,-0.75,Standing
790,2.72,-9.37,-0.75,Standing
791,2.81,-9.48,-0.66,Standing
792,2.79,-9.54,-0.53,Standing
793,2.66,-9.47,-0.5,Standing
794,2.56,-9.36,-0.52,Standing
795,2.63,-9.4,-0.51,Standing
796,2.72,-9.41,-0.55,Standing
797,2.78,-9.34,-0.57,Standing
798,2.85,-9.32,-0.57,Standing
799,2.99,-9.35,-0.49,Standing
800,3.06,-9.39,-0.46,Standing
801,3.14,-9.39,-0.53,Standing
802,3.06,-9.38,-0.62,Standing
803,2.98,-9.37,-0.7,Standing
804,2.9,-9.39,-0.68,Standing
805,2.82,-9.43,-0.65,Standing
806,2.75,-9.46,-0.63,Standing
807,2.7,-9.48,-0.59,Standing
808,2.62,-9.52,-0.6,Standing
809,2.55,-9.5,-0.64,Standing
810,2.53,-9.49,-0.65,Standing
811,2.59,-9.45,-0.69,Standing
812,2.68,-9.48,-0.66,Standing
813,2.72,-9.43,-0.63,Standing
814,2.79,-9.35,-0.64,Standing
815,2.95,-9.35,-0.67,Standing
816,3.05,-9.3,-0.65,Standing
817,3.12,-9.24,-0.65,Standing
818,3.17,-9.29,-0.63,Standing
819,3.21,-9.41,-0.57,Standing
820,3.17,-9.37,-0.5,Standing
821,3.07,-9.26,-0.48,Standing
822,3.04,-9.21,-0.51,Standing
823,3.05,-9.34,-0.48,Standing
824,3.0,-9.57,-0.45,Standing
825,2.81,-9.75,-0.43,Standing
826,2.6,-9.73,-0.48,Standing
827,2.43,-9.62,-0.55,Standing
