timeElapsed,x,y,z,label
865,1.65,-8.6,1.85,Standing
866,2.06,-9.25,1.17,Standing
867,1.7,-8.66,0.45,Standing
868,1.46,-8.37,0.32,Standing
869,1.39,-8.3,0.61,Standing
870,1.45,-8.61,1.01,Standing
871,2.03,-9.19,1.39,Standing
872,2,-8.76,1.51,Standing
873,1.27,-8.19,1.4,Standing
874,0.83,-7.92,1.13,Standing
875,0.98,-8.08,1.25,Standing
876,2.22,-8.26,2.09,Standing
877,2.82,-8.83,2.6,Standing
878,2.05,-8.8,2.51,Standing
879,1.89,-8.47,2.73,Standing
880,2.35,-8.26,3.12,Standing
881,2.22,-8.71,3.15,Standing
882,2.17,-8.17,2.79,Standing
883,2.23,-7.67,2.53,Standing
884,1.81,-8.32,3.3,Standing
885,2.09,-8.44,3.19,Standing
886,2.4,-8.02,2.98,Standing
887,2.33,-7.88,3.09,Standing
888,2.16,-8.04,3.29,Standing
889,2.31,-7.97,3.14,Standing
890,2.75,-7.44,3.28,Standing
891,2.84,-7.57,3.49,Standing
892,2.55,-8.05,3.47,Standing
893,2.25,-8.23,3.44,Standing
894,2,-7.92,3.31,Standing
895,1.64,-7.93,3.23,Standing
896,1.54,-8.12,3.25,Standing
897,1.77,-7.99,3.36,Standing
898,1.83,-8.07,3.4,Standing
899,1.97,-7.79,3.31,Standing
900,2.19,-7.89,3.42,Standing
901,2.22,-8.33,3.11,Standing
902,2.28,-8.26,3.05,Standing
903,2.01,-8.18,2.79,Standing
904,2.12,-8.2,2.89,Standing
905,2.29,-8.28,2.88,Standing
906,2.59,-7.97,2.93,Standing
907,2.74,-7.87,2.98,Standing
908,2.27,-7.99,2.89,Standing
909,1.63,-8.41,3.15,Standing
910,1.42,-8.55,3.06,Standing
911,1.25,-8.24,2.75,Standing
912,1.17,-7.9,2.62,Standing
913,1.6,-7.81,2.88,Standing
914,1.4,-8.48,2.77,Standing
915,2.03,-8.19,3.11,Standing
916,2.57,-7.87,3.13,Standing
917,2.56,-7.97,3.19,Standing
918,2.12,-8.09,3.07,Standing
919,1.93,-8.09,2.88,Standing
920,2.05,-8.04,2.87,Standing
921,2.1,-8.13,3.07,Standing
922,2.1,-8.3,3.26,Standing
923,2,-8.16,3.16,Standing
924,1.96,-7.91,3.07,Standing
925,2,-7.91,3.1,Standing
926,1.9,-8.08,3.12,Standing
927,1.81,-8.26,3.12,Standing
928,1.79,-8.2,2.96,Standing
929,1.82,-8.01,2.88,Standing
930,1.91,-8.03,3.04,Standing
931,2.01,-8.12,3.1,Standing
932,2.06,-8.14,3.07,Standing
933,2.09,-8.09,3.13,Standing
934,2.25,-7.77,3.14,Standing
