timeElapsed,x,y,z,label
24.5719,0.353897095,0.775604248,0.289413452,stairUp
24.6713,0.520507813,1.002685547,0.495986938,stairUp
24.7707,-0.01322937,0.997589111,0.159973145,stairUp
24.8701,0.342712402,0.755310059,0.198272705,stairUp
24.9695,0.125976563,0.982040405,0.224105835,stairUp
25.0689,0.553009033,1.720230103,0.035263062,stairUp
25.1683,0.475631714,1.289779663,0.23727417,stairUp
25.2677,0.488876343,0.873168945,0.151809692,stairUp
25.3671,0.253341675,0.487716675,0.142440796,stairUp
25.4665,0.415237427,0.133285522,0.460662842,stairUp
25.5659,0.469802856,0.05329895,1.017913818,stairUp
25.6653,0.497589111,1.220352173,0.228363037,stairUp
25.7647,0.482559204,1.261123657,0.300186157,stairUp
25.8641,0.209182739,0.786407471,0.102859497,stairUp
25.9635,0.365585327,0.733612061,0.195892334,stairUp
26.0629,0.183151245,0.899276733,0.115127563,stairUp
26.1623,0.547424316,1.330032349,0.438308716,stairUp
26.2617,0.628173828,1.192077637,0.213195801,stairUp
26.3611,0.259597778,1.407058716,-0.265762329,stairUp
26.4605,0.476196289,0.722061157,0.295959473,stairUp
26.5599,0.269332886,0.293487549,0.173583984,stairUp
26.6593,0.371276855,0.178787231,0.609954834,stairUp
26.7587,1.538803101,1.1668396,1.046569824,stairUp
26.8581,0.197967529,0.63684082,0.025527954,stairUp
26.9575,0.366134644,0.903778076,0.244689941,stairUp
27.0569,0.266815186,0.876403809,0.045272827,stairUp
27.1563,0.281677246,0.74571228,0.194915771,stairUp
27.2557,0.293395996,1.137741089,0.395324707,stairUp
27.3551,0.529067993,1.568161011,0.060043335,stairUp
27.4545,0.316055298,1.332458496,-0.009628296,stairUp
27.5539,0.426330566,0.938201904,0.121292114,stairUp
27.6533,0.355987549,0.417419434,0.25050354,stairUp
27.7527,0.376281738,0.106582642,0.450881958,stairUp
27.8521,0.632369995,0.169433594,0.794082642,stairUp
27.9515,0.323410034,0.519683838,0.478042603,stairUp
28.0509,0.51524353,1.290405273,0.374954224,stairUp
28.1503,0.146575928,0.825866699,-0.007461548,stairUp
28.2497,0.344741821,0.809066772,0.240539551,stairUp
28.3491,0.224441528,0.919876099,0.119216919,stairUp
28.4485,0.547531128,1.135467529,0.208053589,stairUp
28.5479,0.40713501,1.355636597,0.072860718,stairUp
28.6473,0.550933838,1.178497314,0.225524902,stairUp
28.7467,0.863571167,0.768035889,0.623535156,walk
28.8461,0.640258789,0.446990967,0.146102905,walk
28.9455,0.161346436,0.968292236,0.097305298,walk
29.0449,0.26385498,0.864181519,-0.022659302,walk
29.1443,0.33203125,0.900115967,-0.016571045,walk
29.2437,0.222381592,0.976989746,0.076019287,walk
29.3431,0.139038086,1.028137207,0.111572266,walk
29.4425,0.524154663,1.171173096,0.178421021,walk
29.5419,0.294906616,0.937347412,-0.028045654,walk
29.6413,0.106430054,1.353652954,-0.145172119,walk
29.7407,0.308807373,0.919052124,0.13999939,walk
29.8401,0.461380005,0.343826294,0.122451782,walk
29.9395,0.38168335,0.167358398,0.494598389,walk
30.0389,0.745956421,1.517456055,1.037490845,walk
30.1383,0.733810425,1.73449707,0.155456543,walk
